Unnamed: 0,DateTime,Date,Time,Nitrate(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,1.1
1.0,09 Aug 13:57,09 Aug 2021,13:57:19,1.06
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,1.07
3.0,09 Aug 17:29,09 Aug 2021,17:29:51,1.08
4.0,10 Aug 00:49,10 Aug 2021,00:49:39,1.09
5.0,10 Aug 08:24,10 Aug 2021,08:24:01,1.08
6.0,10 Aug 10:27,10 Aug 2021,10:27:28,1.09
7.0,10 Aug 19:26,10 Aug 2021,19:26:33,1.08
8.0,11 Aug 12:13,11 Aug 2021,12:13:36,1.1
9.0,11 Aug 16:56,11 Aug 2021,16:56:21,1.07
10.0,12 Aug 10:59,12 Aug 2021,10:59:37,1.08
11.0,12 Aug 12:14,12 Aug 2021,12:14:31,1.09
12.0,16 Aug 15:15,16 Aug 2021,15:15:28,1.12
13.0,16 Aug 18:19,16 Aug 2021,18:19:53,1.11
14.0,16 Aug 19:20,16 Aug 2021,19:20:17,1.1
15.0,16 Aug 23:18,16 Aug 2021,23:18:09,1.12
16.0,19 Aug 21:09,19 Aug 2021,21:09:25,1.13
17.0,23 Aug 15:16,23 Aug 2021,15:16:38,1.11
18.0,28 Aug 15:26,28 Aug 2021,15:26:51,1.12
19.0,28 Aug 18:00,28 Aug 2021,18:00:08,1.11
,03 Sep 02:17,03 Sep 2021,02:17:33,1.68
,10 Sep 17:38,10 Sep 2021,17:38:26,1.67
,10 Sep 23:30,10 Sep 2021,23:30:16,1.68
,12 Sep 22:00,12 Sep 2021,22:00:04,1.69
,12 Sep 22:53,12 Sep 2021,22:53:57,1.68
