Unnamed: 0,DateTime,Date,Time,Temperature(°C)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,29.2
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,30.9
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,31.0
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,31.2
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,31.5
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,31.7
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,31.8
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,31.5
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,30.9
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,31.2
10.0,10 Aug 19:26,10 Aug 2021,19:26:33,30.7
11.0,12 Aug 12:14,12 Aug 2021,12:14:31,30.4
12.0,16 Aug 10:05,16 Aug 2021,10:05:25,31.5
13.0,16 Aug 11:06,16 Aug 2021,11:06:03,31.6
14.0,16 Aug 15:15,16 Aug 2021,15:15:28,31.9
15.0,16 Aug 17:19,16 Aug 2021,17:19:32,32.1
16.0,16 Aug 18:19,16 Aug 2021,18:19:53,32.0
17.0,16 Aug 23:18,16 Aug 2021,23:18:09,31.8
18.0,19 Aug 21:09,19 Aug 2021,21:09:25,32.1
19.0,19 Aug 22:09,19 Aug 2021,22:09:52,32.0
20.0,23 Aug 18:03,23 Aug 2021,18:03:46,32.2
21.0,28 Aug 10:21,28 Aug 2021,10:21:18,30.1
22.0,28 Aug 11:35,28 Aug 2021,11:35:06,30.2
23.0,28 Aug 12:45,28 Aug 2021,12:45:39,30.4
24.0,28 Aug 15:26,28 Aug 2021,15:26:51,30.6
25.0,28 Aug 18:00,28 Aug 2021,18:00:08,31.0
26.0,28 Aug 19:18,28 Aug 2021,19:18:38,30.9
,03 Sep 02:17,03 Sep 2021,02:17:33,31.1
,03 09 10:54,03 Sep 2021,10:54:46,30.7
,10 Sep 17:38,10 Sep 2021,17:38:26,31.1
,10 Sep 23:30,10 Sep 2021,23:30:16,30.8
,12 Sep 17:30,12 Sep 2021,17:30:03,31.4
,12 Sep 21:12,12 Sep 2021,21:12:54,31.2
,12 Sep 22:53,12 Sep 2021,22:53:57,31.1
