Unnamed: 0,DateTime,Date,Time,Chloride(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,27.8
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,13.4
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,12.8
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,13.5
4.0,09 Aug 16:29,09 Aug 2021,16:29:24,13.2
5.0,09 Aug 17:29,09 Aug 2021,17:29:51,13.1
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,13.0
7.0,10 Aug 00:49,10 Aug 2021,00:49:39,13.1
8.0,10 Aug 08:24,10 Aug 2021,08:24:01,14.2
9.0,10 Aug 09:26,10 Aug 2021,09:26:56,13.8
10.0,10 Aug 10:27,10 Aug 2021,10:27:28,14.1
11.0,10 Aug 19:26,10 Aug 2021,19:26:33,12.2
12.0,10 Aug 20:27,10 Aug 2021,20:27:03,12.0
13.0,10 Aug 21:30,10 Aug 2021,21:30:23,12.1
14.0,11 Aug 10:20,11 Aug 2021,10:20:04,12.4
15.0,11 Aug 12:13,11 Aug 2021,12:13:36,12.5
16.0,11 Aug 16:56,11 Aug 2021,16:56:21,7.8
17.0,12 Aug 10:59,12 Aug 2021,10:59:37,9.0
18.0,12 Aug 12:14,12 Aug 2021,12:14:31,9.2
19.0,16 Aug 10:05,16 Aug 2021,10:05:25,7.4
20.0,16 Aug 11:06,16 Aug 2021,11:06:03,7.2
21.0,16 Aug 15:15,16 Aug 2021,15:15:28,7.1
22.0,16 Aug 16:15,16 Aug 2021,16:15:54,6.9
23.0,16 Aug 17:19,16 Aug 2021,17:19:32,0.0
24.0,16 Aug 18:19,16 Aug 2021,18:19:53,6.9
25.0,16 Aug 19:20,16 Aug 2021,19:20:17,7.1
26.0,16 Aug 23:18,16 Aug 2021,23:18:09,7.0
27.0,19 Aug 21:09,19 Aug 2021,21:09:25,16.5
28.0,19 Aug 22:09,19 Aug 2021,22:09:52,15.9
29.0,23 Aug 15:16,23 Aug 2021,15:16:38,22.1
30.0,23 Aug 18:03,23 Aug 2021,18:03:46,12.1
31.0,28 Aug 10:21,28 Aug 2021,10:21:18,14.0
32.0,28 Aug 11:35,28 Aug 2021,11:35:06,14.1
33.0,28 Aug 12:45,28 Aug 2021,12:45:39,14.5
34.0,28 Aug 15:26,28 Aug 2021,15:26:51,13.9
35.0,28 Aug 18:00,28 Aug 2021,18:00:08,13.8
,03 Sep 02:17,03 Sep 2021,02:17:33,17.9
,03 09 10:54,03 Sep 2021,10:54:46,16.9
,10 Sep 17:38,10 Sep 2021,17:38:26,23.6
,10 Sep 23:30,10 Sep 2021,23:30:16,19.0
,12 Sep 17:30,12 Sep 2021,17:30:03,14.6
,12 Sep 18:42,12 Sep 2021,18:42:45,0.0
