Unnamed: 0,DateTime,Date,Time,COD(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,
1.0,04 Aug 14:28,04 Aug 2021,14:28:10,0.0
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,13.68
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,27.98
4.0,09 Aug 16:29,09 Aug 2021,16:29:24,20.0
5.0,09 Aug 17:29,09 Aug 2021,17:29:51,20.62
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,0.0
7.0,10 Aug 00:49,10 Aug 2021,00:49:39,21.54
8.0,10 Aug 08:24,10 Aug 2021,08:24:01,0.0
9.0,10 Aug 10:27,10 Aug 2021,10:27:28,22.58
10.0,10 Aug 19:26,10 Aug 2021,19:26:33,27.56
11.0,10 Aug 20:27,10 Aug 2021,20:27:03,25.68
12.0,10 Aug 21:30,10 Aug 2021,21:30:23,27.14
13.0,11 Aug 08:47,11 Aug 2021,08:47:06,0.0
14.0,11 Aug 16:56,11 Aug 2021,16:56:21,14.64
15.0,11 Aug 18:00,11 Aug 2021,18:00:02,13.03
16.0,12 Aug 10:59,12 Aug 2021,10:59:37,12.08
17.0,12 Aug 12:14,12 Aug 2021,12:14:31,11.41
18.0,16 Aug 10:05,16 Aug 2021,10:05:25,18.95
19.0,16 Aug 11:06,16 Aug 2021,11:06:03,0.0
20.0,16 Aug 15:15,16 Aug 2021,15:15:28,12.23
21.0,16 Aug 16:15,16 Aug 2021,16:15:54,13.61
22.0,16 Aug 17:19,16 Aug 2021,17:19:32,13.27
23.0,16 Aug 18:19,16 Aug 2021,18:19:53,13.37
24.0,16 Aug 19:20,16 Aug 2021,19:20:17,16.62
25.0,16 Aug 23:18,16 Aug 2021,23:18:09,0.0
26.0,19 Aug 21:09,19 Aug 2021,21:09:25,14.26
27.0,19 Aug 22:09,19 Aug 2021,22:09:52,14.74
28.0,23 Aug 15:16,23 Aug 2021,15:16:38,16.34
29.0,23 Aug 18:03,23 Aug 2021,18:03:46,20.78
30.0,28 Aug 10:21,28 Aug 2021,10:21:18,0.0
,03 Sep 02:17,03 Sep 2021,02:17:33,12.22
,03 09 10:54,03 Sep 2021,10:54:46,12.72
,10 Sep 17:38,10 Sep 2021,17:38:26,14.01
,10 Sep 23:30,10 Sep 2021,23:30:16,12.38
,12 Sep 18:42,12 Sep 2021,18:42:45,13.25
,12 Sep 22:00,12 Sep 2021,22:00:04,13.19
,12 Sep 22:53,12 Sep 2021,22:53:57,13.1
