Unnamed: 0,DateTime,Date,Time,Chloride(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,15.7
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,34.4
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,37.5
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,23.1
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,15.7
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,15.0
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,15.1
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,16.8
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,18.3
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,26.4
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,19.5
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,21.4
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,23.7
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,17.5
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,18.7
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,20.4
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,18.8
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,21.8
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,29.0
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,16.2
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,15.4
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,20.2
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,24.7
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,11.7
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,13.0
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,18.5
26.0,16 Aug 16:15,16 Aug 2021,16:15:54,20.5
27.0,16 Aug 17:19,16 Aug 2021,17:19:32,22.5
28.0,16 Aug 18:19,16 Aug 2021,18:19:53,17.0
29.0,16 Aug 19:20,16 Aug 2021,19:20:17,11.1
30.0,16 Aug 23:18,16 Aug 2021,23:18:09,11.7
31.0,19 Aug 21:09,19 Aug 2021,21:09:25,16.5
32.0,19 Aug 22:09,19 Aug 2021,22:09:52,16.7
33.0,23 Aug 15:16,23 Aug 2021,15:16:38,5.1
34.0,28 Aug 10:21,28 Aug 2021,10:21:18,4.4
35.0,28 Aug 11:35,28 Aug 2021,11:35:06,4.8
36.0,28 Aug 12:45,28 Aug 2021,12:45:39,5.9
37.0,28 Aug 15:26,28 Aug 2021,15:26:51,7.6
38.0,28 Aug 18:00,28 Aug 2021,18:00:08,4.1
39.0,28 Aug 19:18,28 Aug 2021,19:18:38,3.3
,03 Sep 02:17,03 Sep 2021,02:17:33,3.0
,03 09 10:54,03 Sep 2021,10:54:46,8.8
,10 Sep 17:38,10 Sep 2021,17:38:26,2.2
,10 Sep 23:30,10 Sep 2021,23:30:16,3.2
,12 Sep 18:42,12 Sep 2021,18:42:45,2.3
,12 Sep 22:00,12 Sep 2021,22:00:04,2.5
,12 Sep 22:53,12 Sep 2021,22:53:57,2.7
