Unnamed: 0,DateTime,Date,Time,Chloride(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,27.0
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,30.9
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,6.8
3.0,09 Aug 16:29,09 Aug 2021,16:29:24,53.5
4.0,09 Aug 17:29,09 Aug 2021,17:29:51,90.4
5.0,09 Aug 18:30,09 Aug 2021,18:30:16,42.7
6.0,09 Aug 19:30,09 Aug 2021,19:30:40,3.8
7.0,10 Aug 00:49,10 Aug 2021,00:49:39,30.4
8.0,10 Aug 09:26,10 Aug 2021,09:26:56,3.2
9.0,10 Aug 10:27,10 Aug 2021,10:27:28,65.4
10.0,10 Aug 19:26,10 Aug 2021,19:26:33,241.1
11.0,10 Aug 20:27,10 Aug 2021,20:27:03,247.9
12.0,10 Aug 21:30,10 Aug 2021,21:30:23,108.1
13.0,11 Aug 08:47,11 Aug 2021,08:47:06,157.2
14.0,11 Aug 10:20,11 Aug 2021,10:20:04,140.2
15.0,11 Aug 12:13,11 Aug 2021,12:13:36,154.3
16.0,11 Aug 16:56,11 Aug 2021,16:56:21,96.9
17.0,11 Aug 18:00,11 Aug 2021,18:00:02,74.4
18.0,12 Aug 10:59,12 Aug 2021,10:59:37,89.4
19.0,12 Aug 12:14,12 Aug 2021,12:14:31,103.2
20.0,16 Aug 10:05,16 Aug 2021,10:05:25,82.2
21.0,16 Aug 11:06,16 Aug 2021,11:06:03,27.1
22.0,16 Aug 15:15,16 Aug 2021,15:15:28,64.1
23.0,16 Aug 16:15,16 Aug 2021,16:15:54,70.2
24.0,16 Aug 17:19,16 Aug 2021,17:19:32,66.0
25.0,16 Aug 18:19,16 Aug 2021,18:19:53,54.7
26.0,16 Aug 19:20,16 Aug 2021,19:20:17,72.3
27.0,16 Aug 23:18,16 Aug 2021,23:18:09,71.1
28.0,19 Aug 21:09,19 Aug 2021,21:09:25,67.3
29.0,19 Aug 22:09,19 Aug 2021,22:09:52,23.6
30.0,23 Aug 15:16,23 Aug 2021,15:16:38,215.4
31.0,23 Aug 18:03,23 Aug 2021,18:03:46,220.1
32.0,28 Aug 10:21,28 Aug 2021,10:21:18,0.5
33.0,28 Aug 11:35,28 Aug 2021,11:35:06,0.1
34.0,28 Aug 12:45,28 Aug 2021,12:45:39,0.3
35.0,28 Aug 15:26,28 Aug 2021,15:26:51,0.5
36.0,28 Aug 18:00,28 Aug 2021,18:00:08,0.4
37.0,28 Aug 19:18,28 Aug 2021,19:18:38,1.0
,03 Sep 02:17,03 Sep 2021,02:17:33,54.0
,03 09 10:54,03 Sep 2021,10:54:46,71.6
,10 Sep 17:38,10 Sep 2021,17:38:26,7.0
,10 Sep 23:30,10 Sep 2021,23:30:16,8.0
,12 Sep 17:30,12 Sep 2021,17:30:03,4.6
,12 Sep 18:42,12 Sep 2021,18:42:45,6.4
,12 Sep 21:12,12 Sep 2021,21:12:54,6.8
,12 Sep 22:53,12 Sep 2021,22:53:57,6.4
