Unnamed: 0,DateTime,Date,Time,Potassium(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,6.3
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,6.1
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,6.3
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,6.4
4.0,09 Aug 16:29,09 Aug 2021,16:29:24,6.5
5.0,09 Aug 18:30,09 Aug 2021,18:30:16,6.3
6.0,10 Aug 00:49,10 Aug 2021,00:49:39,6.7
7.0,10 Aug 08:24,10 Aug 2021,08:24:01,6.8
8.0,10 Aug 09:26,10 Aug 2021,09:26:56,6.3
9.0,10 Aug 10:27,10 Aug 2021,10:27:28,6.5
10.0,10 Aug 19:26,10 Aug 2021,19:26:33,7.5
11.0,10 Aug 21:30,10 Aug 2021,21:30:23,7.4
12.0,11 Aug 08:47,11 Aug 2021,08:47:06,6.9
13.0,11 Aug 10:20,11 Aug 2021,10:20:04,7.1
14.0,11 Aug 12:13,11 Aug 2021,12:13:36,7.3
15.0,11 Aug 16:56,11 Aug 2021,16:56:21,7.4
16.0,11 Aug 18:00,11 Aug 2021,18:00:02,7.7
17.0,12 Aug 10:59,12 Aug 2021,10:59:37,7.5
18.0,12 Aug 12:14,12 Aug 2021,12:14:31,7.6
19.0,16 Aug 10:05,16 Aug 2021,10:05:25,6.7
20.0,16 Aug 11:06,16 Aug 2021,11:06:03,6.5
21.0,16 Aug 16:15,16 Aug 2021,16:15:54,6.6
22.0,16 Aug 23:18,16 Aug 2021,23:18:09,6.9
23.0,19 Aug 21:09,19 Aug 2021,21:09:25,10.3
24.0,23 Aug 15:16,23 Aug 2021,15:16:38,7.7
25.0,23 Aug 18:03,23 Aug 2021,18:03:46,7.8
26.0,28 Aug 10:21,28 Aug 2021,10:21:18,3.5
27.0,28 Aug 11:35,28 Aug 2021,11:35:06,2.7
28.0,28 Aug 12:45,28 Aug 2021,12:45:39,3.0
29.0,28 Aug 15:26,28 Aug 2021,15:26:51,3.2
30.0,28 Aug 18:00,28 Aug 2021,18:00:08,3.3
31.0,28 Aug 19:18,28 Aug 2021,19:18:38,3.4
,03 Sep 02:17,03 Sep 2021,02:17:33,7.3
,03 09 10:54,03 Sep 2021,10:54:46,6.6
,10 Sep 17:38,10 Sep 2021,17:38:26,5.0
,10 Sep 23:30,10 Sep 2021,23:30:16,4.9
,12 Sep 17:30,12 Sep 2021,17:30:03,5.1
,12 Sep 18:42,12 Sep 2021,18:42:45,5.2
,12 Sep 21:12,12 Sep 2021,21:12:54,5.3
