Unnamed: 0,DateTime,Date,Time,Water Level(cm.)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,54.11
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,57.16
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,0.0
3.0,09 Aug 16:29,09 Aug 2021,16:29:24,69.37
4.0,09 Aug 17:29,09 Aug 2021,17:29:51,58.31
5.0,09 Aug 18:30,09 Aug 2021,18:30:16,79.67
6.0,10 Aug 19:26,10 Aug 2021,19:26:33,32.75
7.0,11 Aug 16:56,11 Aug 2021,16:56:21,32.37
8.0,11 Aug 18:00,11 Aug 2021,18:00:02,57.93
9.0,12 Aug 10:59,12 Aug 2021,10:59:37,37.33
10.0,16 Aug 10:05,16 Aug 2021,10:05:25,56.4
11.0,16 Aug 15:15,16 Aug 2021,15:15:28,73.57
12.0,16 Aug 16:15,16 Aug 2021,16:15:54,84.67
13.0,16 Aug 17:19,16 Aug 2021,17:19:32,36.18
14.0,16 Aug 18:19,16 Aug 2021,18:19:53,80.47
15.0,16 Aug 19:20,16 Aug 2021,19:20:17,70.52
16.0,16 Aug 23:18,16 Aug 2021,23:18:09,39.23
17.0,19 Aug 21:09,19 Aug 2021,21:09:25,67.46
18.0,23 Aug 15:16,23 Aug 2021,15:16:38,50.3
19.0,23 Aug 18:03,23 Aug 2021,18:03:46,17.87
20.0,28 Aug 10:21,28 Aug 2021,10:21:18,62.89
21.0,28 Aug 11:35,28 Aug 2021,11:35:06,51.82
22.0,28 Aug 12:45,28 Aug 2021,12:45:39,84.29
23.0,28 Aug 15:26,28 Aug 2021,15:26:51,67.85
24.0,28 Aug 18:00,28 Aug 2021,18:00:08,55.64
25.0,28 Aug 19:18,28 Aug 2021,19:18:38,50.68
,03 Sep 02:17,03 Sep 2021,02:17:33,8.68
,03 09 10:54,03 Sep 2021,10:54:46,48.77
,10 Sep 17:38,10 Sep 2021,17:38:26,65.17
,10 Sep 23:30,10 Sep 2021,23:30:16,75.09
,12 Sep 16:50,12 Sep 2021,16:50:46,68.99
,12 Sep 17:30,12 Sep 2021,17:30:03,57.93
,12 Sep 18:30,12 Sep 2021,18:30:04,2.57
,12 Sep 21:12,12 Sep 2021,21:12:54,74.71
,12 Sep 22:53,12 Sep 2021,22:53:57,65.56
