Unnamed: 0,DateTime,Date,Time,Chloride(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,11.1
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,20.4
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,20.2
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,20.3
4.0,09 Aug 16:29,09 Aug 2021,16:29:24,20.4
5.0,09 Aug 17:29,09 Aug 2021,17:29:51,20.7
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,20.8
7.0,09 Aug 19:30,09 Aug 2021,19:30:40,21.0
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,21.2
9.0,10 Aug 20:27,10 Aug 2021,20:27:03,21.1
10.0,11 Aug 08:47,11 Aug 2021,08:47:06,20.8
11.0,11 Aug 10:20,11 Aug 2021,10:20:04,20.5
12.0,11 Aug 12:13,11 Aug 2021,12:13:36,20.4
13.0,11 Aug 16:56,11 Aug 2021,16:56:21,20.5
14.0,12 Aug 10:59,12 Aug 2021,10:59:37,20.3
15.0,12 Aug 12:14,12 Aug 2021,12:14:31,20.4
16.0,16 Aug 10:05,16 Aug 2021,10:05:25,6.8
17.0,16 Aug 11:06,16 Aug 2021,11:06:03,6.7
18.0,16 Aug 15:15,16 Aug 2021,15:15:28,7.2
19.0,16 Aug 16:15,16 Aug 2021,16:15:54,6.7
20.0,16 Aug 17:19,16 Aug 2021,17:19:32,7.3
21.0,16 Aug 18:19,16 Aug 2021,18:19:53,7.2
22.0,16 Aug 19:20,16 Aug 2021,19:20:17,7.3
23.0,16 Aug 23:18,16 Aug 2021,23:18:09,7.4
24.0,19 Aug 21:09,19 Aug 2021,21:09:25,7.9
25.0,19 Aug 22:09,19 Aug 2021,22:09:52,7.7
26.0,23 Aug 15:16,23 Aug 2021,15:16:38,7.8
27.0,23 Aug 18:03,23 Aug 2021,18:03:46,7.7
28.0,28 Aug 10:21,28 Aug 2021,10:21:18,8.1
29.0,28 Aug 11:35,28 Aug 2021,11:35:06,8.0
30.0,28 Aug 18:00,28 Aug 2021,18:00:08,7.9
,03 Sep 02:17,03 Sep 2021,02:17:33,7.4
,03 09 10:54,03 Sep 2021,10:54:46,7.2
,10 Sep 17:38,10 Sep 2021,17:38:26,17.0
,10 Sep 23:30,10 Sep 2021,23:30:16,15.2
,12 Sep 18:42,12 Sep 2021,18:42:45,14.9
,12 Sep 22:00,12 Sep 2021,22:00:04,14.3
,12 Sep 22:53,12 Sep 2021,22:53:57,14.2
