Unnamed: 0,DateTime,Date,Time,"Color(Pt.Scale,Hz units)"
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,462.58
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,1338.38
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,1336.96
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,1328.23
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,1318.63
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,1316.76
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,1319.03
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,1319.16
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,1323.64
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,1337.65
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,1335.47
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,1331.14
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,1330.92
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,1316.03
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,1327.0
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,1333.08
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,1327.66
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,1316.08
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,1314.53
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,1313.07
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,1310.48
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,1324.57
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,1325.75
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,1179.32
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,1189.25
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,1196.69
26.0,16 Aug 16:15,16 Aug 2021,16:15:54,1133.23
27.0,16 Aug 17:19,16 Aug 2021,17:19:32,1142.98
28.0,16 Aug 18:19,16 Aug 2021,18:19:53,1158.52
29.0,16 Aug 19:20,16 Aug 2021,19:20:17,1165.69
30.0,16 Aug 23:18,16 Aug 2021,23:18:09,1210.18
31.0,19 Aug 21:09,19 Aug 2021,21:09:25,130.71
32.0,19 Aug 22:09,19 Aug 2021,22:09:52,129.44
33.0,23 Aug 15:16,23 Aug 2021,15:16:38,128.99
34.0,23 Aug 18:03,23 Aug 2021,18:03:46,129.08
35.0,28 Aug 10:21,28 Aug 2021,10:21:18,126.98
36.0,28 Aug 11:35,28 Aug 2021,11:35:06,127.02
37.0,28 Aug 12:45,28 Aug 2021,12:45:39,127.0
38.0,28 Aug 15:26,28 Aug 2021,15:26:51,127.07
39.0,28 Aug 18:00,28 Aug 2021,18:00:08,127.5
40.0,28 Aug 19:18,28 Aug 2021,19:18:38,127.56
,03 Sep 02:17,03 Sep 2021,02:17:33,127.03
,03 09 10:54,03 Sep 2021,10:54:46,127.0
,10 Sep 17:38,10 Sep 2021,17:38:26,127.08
,10 Sep 23:30,10 Sep 2021,23:30:16,127.0
,12 Sep 18:42,12 Sep 2021,18:42:45,127.02
,12 Sep 22:00,12 Sep 2021,22:00:04,126.8
,12 Sep 22:53,12 Sep 2021,22:53:57,127.11
