Unnamed: 0,DateTime,Date,Time,Nitrate(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,0.4
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,0.37
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,0.0
3.0,12 Aug 12:14,12 Aug 2021,12:14:31,0.51
4.0,16 Aug 10:05,16 Aug 2021,10:05:25,0.0
5.0,16 Aug 15:15,16 Aug 2021,15:15:28,0.7
6.0,16 Aug 16:15,16 Aug 2021,16:15:54,0.15
7.0,16 Aug 17:19,16 Aug 2021,17:19:32,0.52
8.0,16 Aug 18:19,16 Aug 2021,18:19:53,0.39
9.0,16 Aug 19:20,16 Aug 2021,19:20:17,0.3
10.0,16 Aug 23:18,16 Aug 2021,23:18:09,0.34
11.0,19 Aug 21:09,19 Aug 2021,21:09:25,0.48
12.0,19 Aug 22:09,19 Aug 2021,22:09:52,0.45
13.0,23 Aug 15:16,23 Aug 2021,15:16:38,1.37
14.0,23 Aug 18:03,23 Aug 2021,18:03:46,1.14
15.0,28 Aug 10:21,28 Aug 2021,10:21:18,0.67
16.0,28 Aug 11:35,28 Aug 2021,11:35:06,0.81
17.0,28 Aug 12:45,28 Aug 2021,12:45:39,0.89
18.0,28 Aug 15:26,28 Aug 2021,15:26:51,1.01
19.0,28 Aug 18:00,28 Aug 2021,18:00:08,1.17
20.0,28 Aug 19:18,28 Aug 2021,19:18:38,0.97
,03 Sep 02:17,03 Sep 2021,02:17:33,0.52
,03 09 10:54,03 Sep 2021,10:54:46,0.1
,10 Sep 17:38,10 Sep 2021,17:38:26,0.0
,10 Sep 23:30,10 Sep 2021,23:30:16,0.39
,12 Sep 17:30,12 Sep 2021,17:30:03,1.92
,12 Sep 18:42,12 Sep 2021,18:42:45,2.02
,12 Sep 21:12,12 Sep 2021,21:12:54,2.06
,12 Sep 22:53,12 Sep 2021,22:53:57,1.85
