Unnamed: 0,DateTime,Date,Time,Temperature(°C)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,27.1
1.0,09 Aug 15:16,09 Aug 2021,15:16:19,0.0
2.0,09 Aug 16:29,09 Aug 2021,16:29:24,26.7
3.0,10 Aug 19:26,10 Aug 2021,19:26:33,26.8
4.0,11 Aug 16:56,11 Aug 2021,16:56:21,27.0
5.0,12 Aug 10:57,12 Aug 2021,10:57:44,27.1
6.0,16 Aug 10:05,16 Aug 2021,10:05:25,26.9
7.0,16 Aug 15:15,16 Aug 2021,15:15:28,26.5
8.0,16 Aug 17:19,16 Aug 2021,17:19:32,26.9
9.0,16 Aug 18:19,16 Aug 2021,18:19:53,26.6
10.0,16 Aug 19:20,16 Aug 2021,19:20:17,26.5
11.0,16 Aug 23:18,16 Aug 2021,23:18:09,26.6
12.0,19 Aug 21:09,19 Aug 2021,21:09:25,26.5
13.0,23 Aug 15:16,23 Aug 2021,15:16:38,26.9
14.0,23 Aug 18:03,23 Aug 2021,18:03:46,27.3
15.0,28 Aug 10:21,28 Aug 2021,10:21:18,26.5
16.0,28 Aug 11:35,28 Aug 2021,11:35:06,26.4
17.0,28 Aug 12:45,28 Aug 2021,12:45:39,26.1
18.0,28 Aug 15:26,28 Aug 2021,15:26:51,26.2
19.0,28 Aug 18:00,28 Aug 2021,18:00:08,26.3
20.0,28 Aug 19:18,28 Aug 2021,19:18:38,26.4
,03 Sep 02:17,03 Sep 2021,02:17:33,26.2
,03 09 10:54,03 Sep 2021,10:54:46,25.9
,10 Sep 17:38,10 Sep 2021,17:38:26,26.8
,10 Sep 23:30,10 Sep 2021,23:30:16,26.5
,12 Sep 16:50,12 Sep 2021,16:50:46,26.3
,12 Sep 17:30,12 Sep 2021,17:30:03,26.4
,12 Sep 18:30,12 Sep 2021,18:30:04,26.8
,12 Sep 21:12,12 Sep 2021,21:12:54,26.4
,12 Sep 22:53,12 Sep 2021,22:53:57,26.3
