Unnamed: 0,DateTime,Date,Time,Floride(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,0.05
1.0,10 Aug 19:26,10 Aug 2021,19:26:33,0.06
2.0,11 Aug 16:56,11 Aug 2021,16:56:21,0.08
3.0,12 Aug 12:14,12 Aug 2021,12:14:31,0.07
4.0,16 Aug 23:18,16 Aug 2021,23:18:09,0.08
5.0,28 Aug 10:21,28 Aug 2021,10:21:18,0.62
6.0,28 Aug 11:35,28 Aug 2021,11:35:06,0.64
7.0,28 Aug 12:45,28 Aug 2021,12:45:39,0.61
8.0,28 Aug 15:26,28 Aug 2021,15:26:51,0.62
9.0,28 Aug 18:00,28 Aug 2021,18:00:08,0.61
10.0,28 Aug 19:18,28 Aug 2021,19:18:38,0.63
,03 Sep 02:17,03 Sep 2021,02:17:33,0.65
,03 09 10:54,03 Sep 2021,10:54:46,0.71
,10 Sep 23:30,10 Sep 2021,23:30:16,0.7
,12 Sep 17:30,12 Sep 2021,17:30:03,0.66
,12 Sep 22:53,12 Sep 2021,22:53:57,0.65
