Unnamed: 0,DateTime,Date,Time,TOC(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,4.39
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,4.47
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,4.43
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,4.44
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,4.41
5.0,09 Aug 17:29,09 Aug 2021,17:29:51,4.46
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,4.44
7.0,09 Aug 19:30,09 Aug 2021,19:30:40,4.46
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,4.44
9.0,10 Aug 09:26,10 Aug 2021,09:26:56,4.46
10.0,10 Aug 10:27,10 Aug 2021,10:27:28,4.48
11.0,10 Aug 19:26,10 Aug 2021,19:26:33,4.45
12.0,10 Aug 20:27,10 Aug 2021,20:27:03,4.47
13.0,10 Aug 21:30,10 Aug 2021,21:30:23,4.44
14.0,11 Aug 08:47,11 Aug 2021,08:47:06,4.39
15.0,11 Aug 16:56,11 Aug 2021,16:56:21,4.41
16.0,11 Aug 18:00,11 Aug 2021,18:00:02,4.4
17.0,12 Aug 10:59,12 Aug 2021,10:59:37,4.38
18.0,12 Aug 12:14,12 Aug 2021,12:14:31,4.4
19.0,16 Aug 10:05,16 Aug 2021,10:05:25,4.39
20.0,16 Aug 11:06,16 Aug 2021,11:06:03,4.37
21.0,16 Aug 15:15,16 Aug 2021,15:15:28,4.39
22.0,16 Aug 18:19,16 Aug 2021,18:19:53,4.41
23.0,16 Aug 23:18,16 Aug 2021,23:18:09,4.46
24.0,19 Aug 21:09,19 Aug 2021,21:09:25,4.36
25.0,19 Aug 22:09,19 Aug 2021,22:09:52,4.37
26.0,23 Aug 15:16,23 Aug 2021,15:16:38,4.36
27.0,23 Aug 18:03,23 Aug 2021,18:03:46,4.4
28.0,28 Aug 10:21,28 Aug 2021,10:21:18,4.29
29.0,28 Aug 11:35,28 Aug 2021,11:35:06,4.28
30.0,28 Aug 12:45,28 Aug 2021,12:45:39,4.29
31.0,28 Aug 15:26,28 Aug 2021,15:26:51,4.31
32.0,28 Aug 19:18,28 Aug 2021,19:18:38,4.33
,03 Sep 02:17,03 Sep 2021,02:17:33,4.37
,03 09 10:54,03 Sep 2021,10:54:46,4.33
,10 Sep 17:38,10 Sep 2021,17:38:26,4.26
,10 Sep 23:30,10 Sep 2021,23:30:16,4.28
,12 Sep 17:30,12 Sep 2021,17:30:03,4.42
,12 Sep 21:12,12 Sep 2021,21:12:54,4.4
