,DateTime,Date,Time,BTX(µg/ml)
0,04 Aug 14:26,04 Aug 2021,14:26:24,0.03
1,09 Aug 15:16,09 Aug 2021,15:16:19,0.05
2,19 Aug 21:09,19 Aug 2021,21:09:25,0.04
3,23 Aug 15:16,23 Aug 2021,15:16:38,0.03
