Unnamed: 0,DateTime,Date,Time,Nitrate(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,1.16
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,1.17
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,1.15
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,1.13
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,1.1
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,1.12
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,1.11
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,1.07
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,0.99
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,0.97
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,1.02
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,0.91
12.0,10 Aug 19:26,10 Aug 2021,19:26:33,1.3
13.0,10 Aug 20:27,10 Aug 2021,20:27:03,1.31
14.0,10 Aug 21:30,10 Aug 2021,21:30:23,1.24
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,1.26
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,1.28
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,1.27
18.0,11 Aug 18:00,11 Aug 2021,18:00:02,1.29
19.0,12 Aug 10:59,12 Aug 2021,10:59:37,1.38
20.0,12 Aug 12:14,12 Aug 2021,12:14:31,1.39
21.0,16 Aug 10:05,16 Aug 2021,10:05:25,1.17
22.0,16 Aug 11:06,16 Aug 2021,11:06:03,1.3
23.0,16 Aug 15:15,16 Aug 2021,15:15:28,1.19
24.0,16 Aug 16:15,16 Aug 2021,16:15:54,1.2
25.0,16 Aug 17:19,16 Aug 2021,17:19:32,0.0
26.0,16 Aug 18:19,16 Aug 2021,18:19:53,1.09
27.0,16 Aug 19:20,16 Aug 2021,19:20:17,1.17
28.0,16 Aug 23:18,16 Aug 2021,23:18:09,1.13
29.0,19 Aug 21:09,19 Aug 2021,21:09:25,1.44
30.0,19 Aug 22:09,19 Aug 2021,22:09:52,1.43
31.0,23 Aug 15:16,23 Aug 2021,15:16:38,1.54
32.0,23 Aug 18:03,23 Aug 2021,18:03:46,1.6
33.0,28 Aug 10:21,28 Aug 2021,10:21:18,1.33
34.0,28 Aug 11:35,28 Aug 2021,11:35:06,1.32
35.0,28 Aug 12:45,28 Aug 2021,12:45:39,1.34
36.0,28 Aug 15:26,28 Aug 2021,15:26:51,1.32
37.0,28 Aug 18:00,28 Aug 2021,18:00:08,1.38
38.0,28 Aug 19:18,28 Aug 2021,19:18:38,1.34
,03 Sep 02:17,03 Sep 2021,02:17:33,1.56
,03 09 10:54,03 Sep 2021,10:54:46,1.55
,10 Sep 17:38,10 Sep 2021,17:38:26,1.9
,10 Sep 23:30,10 Sep 2021,23:30:16,1.73
,12 Sep 17:30,12 Sep 2021,17:30:03,1.37
,12 Sep 18:42,12 Sep 2021,18:42:45,1.35
,12 Sep 21:12,12 Sep 2021,21:12:54,1.34
,12 Sep 22:53,12 Sep 2021,22:53:57,1.37
