Unnamed: 0,DateTime,Date,Time,COD(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,21.1
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,21.11
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,20.72
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,20.23
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,19.94
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,20.17
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,20.84
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,20.92
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,20.91
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,19.78
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,20.6
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,20.12
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,21.07
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,18.27
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,20.35
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,20.67
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,19.3
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,22.92
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,18.13
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,16.87
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,17.31
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,18.3
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,20.85
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,18.39
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,18.81
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,18.6
26.0,16 Aug 16:15,16 Aug 2021,16:15:54,17.91
27.0,16 Aug 17:19,16 Aug 2021,17:19:32,17.38
28.0,16 Aug 18:19,16 Aug 2021,18:19:53,17.45
29.0,16 Aug 19:20,16 Aug 2021,19:20:17,18.47
30.0,16 Aug 23:18,16 Aug 2021,23:18:09,17.52
31.0,17 Aug 00:18,17 Aug 2021,00:18:33,17.33
32.0,19 Aug 21:09,19 Aug 2021,21:09:25,17.09
33.0,19 Aug 22:09,19 Aug 2021,22:09:52,16.31
34.0,23 Aug 15:16,23 Aug 2021,15:16:38,16.72
35.0,23 Aug 18:03,23 Aug 2021,18:03:46,16.37
36.0,28 Aug 10:21,28 Aug 2021,10:21:18,15.23
37.0,28 Aug 11:35,28 Aug 2021,11:35:06,15.3
38.0,28 Aug 12:45,28 Aug 2021,12:45:39,15.38
39.0,28 Aug 15:26,28 Aug 2021,15:26:51,15.32
40.0,28 Aug 18:00,28 Aug 2021,18:00:08,15.3
41.0,28 Aug 19:18,28 Aug 2021,19:18:38,15.48
,03 Sep 02:17,03 Sep 2021,02:17:33,16.37
,03 09 10:54,03 Sep 2021,10:54:46,16.02
,10 Sep 17:38,10 Sep 2021,17:38:26,17.83
,10 Sep 23:30,10 Sep 2021,23:30:16,20.06
,12 Sep 22:00,12 Sep 2021,22:00:04,18.02
