Unnamed: 0,DateTime,Date,Time,"Color(Pt.Scale,Hz units)"
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,182.5
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,151.36
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,151.55
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,150.4
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,152.1
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,153.93
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,154.35
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,151.42
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,149.21
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,150.16
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,151.77
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,152.04
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,152.43
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,158.85
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,159.76
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,158.78
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,166.14
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,164.51
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,164.27
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,163.15
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,163.77
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,155.39
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,0.0
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,131.56
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,131.34
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,132.02
26.0,16 Aug 16:15,16 Aug 2021,16:15:54,132.68
27.0,16 Aug 17:19,16 Aug 2021,17:19:32,131.68
28.0,16 Aug 18:19,16 Aug 2021,18:19:53,132.04
29.0,16 Aug 19:20,16 Aug 2021,19:20:17,131.63
30.0,16 Aug 23:18,16 Aug 2021,23:18:09,131.92
31.0,19 Aug 21:09,19 Aug 2021,21:09:25,136.57
32.0,19 Aug 22:09,19 Aug 2021,22:09:52,137.01
33.0,23 Aug 15:16,23 Aug 2021,15:16:38,144.07
34.0,23 Aug 18:03,23 Aug 2021,18:03:46,149.99
35.0,28 Aug 10:21,28 Aug 2021,10:21:18,140.29
36.0,28 Aug 11:35,28 Aug 2021,11:35:06,140.23
37.0,28 Aug 12:45,28 Aug 2021,12:45:39,140.43
38.0,28 Aug 15:26,28 Aug 2021,15:26:51,140.33
39.0,28 Aug 18:00,28 Aug 2021,18:00:08,140.54
,03 Sep 02:17,03 Sep 2021,02:17:33,147.88
,03 09 10:54,03 Sep 2021,10:54:46,146.85
,10 Sep 17:38,10 Sep 2021,17:38:26,98.56
,10 Sep 23:30,10 Sep 2021,23:30:16,100.78
,12 Sep 17:30,12 Sep 2021,17:30:03,100.52
,12 Sep 18:42,12 Sep 2021,18:42:45,102.98
,12 Sep 22:00,12 Sep 2021,22:00:04,103.57
,12 Sep 22:53,12 Sep 2021,22:53:57,103.49
