Unnamed: 0,DateTime,Date,Time,Floride(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,0.32
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,0.18
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,0.17
3.0,09 Aug 19:30,09 Aug 2021,19:30:40,0.15
4.0,10 Aug 00:49,10 Aug 2021,00:49:39,0.14
5.0,10 Aug 09:26,10 Aug 2021,09:26:56,0.13
6.0,10 Aug 10:27,10 Aug 2021,10:27:28,0.14
7.0,10 Aug 19:26,10 Aug 2021,19:26:33,0.52
8.0,11 Aug 08:47,11 Aug 2021,08:47:06,0.55
9.0,11 Aug 10:20,11 Aug 2021,10:20:04,0.56
10.0,11 Aug 12:13,11 Aug 2021,12:13:36,0.55
11.0,11 Aug 16:56,11 Aug 2021,16:56:21,0.81
12.0,11 Aug 18:00,11 Aug 2021,18:00:02,0.79
13.0,12 Aug 10:59,12 Aug 2021,10:59:37,0.83
14.0,16 Aug 10:05,16 Aug 2021,10:05:25,0.82
15.0,16 Aug 11:06,16 Aug 2021,11:06:03,0.73
16.0,16 Aug 15:15,16 Aug 2021,15:15:28,0.75
17.0,16 Aug 16:15,16 Aug 2021,16:15:54,0.74
18.0,16 Aug 17:19,16 Aug 2021,17:19:32,0.0
19.0,16 Aug 18:19,16 Aug 2021,18:19:53,0.76
20.0,16 Aug 23:18,16 Aug 2021,23:18:09,0.78
21.0,19 Aug 21:09,19 Aug 2021,21:09:25,0.33
22.0,19 Aug 22:09,19 Aug 2021,22:09:52,0.32
23.0,23 Aug 18:03,23 Aug 2021,18:03:46,0.85
24.0,28 Aug 10:21,28 Aug 2021,10:21:18,0.05
,03 Sep 02:17,03 Sep 2021,02:17:33,0.08
,10 Sep 17:38,10 Sep 2021,17:38:26,0.09
,12 Sep 17:30,12 Sep 2021,17:30:03,0.11
,12 Sep 18:42,12 Sep 2021,18:42:45,0.0
