Unnamed: 0,DateTime,Date,Time,COD(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,19.19
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,17.78
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,17.41
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,17.29
4.0,09 Aug 16:29,09 Aug 2021,16:29:24,17.38
5.0,09 Aug 17:29,09 Aug 2021,17:29:51,17.2
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,17.3
7.0,09 Aug 19:30,09 Aug 2021,19:30:40,17.54
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,17.76
9.0,10 Aug 08:24,10 Aug 2021,08:24:01,16.98
10.0,10 Aug 09:26,10 Aug 2021,09:26:56,16.79
11.0,10 Aug 10:27,10 Aug 2021,10:27:28,16.75
12.0,10 Aug 19:26,10 Aug 2021,19:26:33,17.06
13.0,10 Aug 20:27,10 Aug 2021,20:27:03,17.37
14.0,10 Aug 21:30,10 Aug 2021,21:30:23,17.53
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,19.55
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,19.26
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,19.57
18.0,11 Aug 16:56,11 Aug 2021,16:56:21,20.64
19.0,11 Aug 18:00,11 Aug 2021,18:00:02,20.89
20.0,12 Aug 10:59,12 Aug 2021,10:59:37,17.52
21.0,12 Aug 12:14,12 Aug 2021,12:14:31,17.32
22.0,16 Aug 10:05,16 Aug 2021,10:05:25,18.87
23.0,16 Aug 11:06,16 Aug 2021,11:06:03,18.61
24.0,16 Aug 15:15,16 Aug 2021,15:15:28,17.85
25.0,16 Aug 16:15,16 Aug 2021,16:15:54,17.57
26.0,16 Aug 17:19,16 Aug 2021,17:19:32,17.73
27.0,16 Aug 18:19,16 Aug 2021,18:19:53,17.67
28.0,16 Aug 19:20,16 Aug 2021,19:20:17,17.47
29.0,16 Aug 23:18,16 Aug 2021,23:18:09,17.19
30.0,19 Aug 21:09,19 Aug 2021,21:09:25,14.41
31.0,19 Aug 22:09,19 Aug 2021,22:09:52,14.51
32.0,23 Aug 15:16,23 Aug 2021,15:16:38,13.73
33.0,28 Aug 10:21,28 Aug 2021,10:21:18,15.84
,03 Sep 02:17,03 Sep 2021,02:17:33,17.21
,10 Sep 17:38,10 Sep 2021,17:38:26,20.52
,12 Sep 16:50,12 Sep 2021,16:50:46,15.68
,12 Sep 17:30,12 Sep 2021,17:30:03,16.44
,12 Sep 18:40,12 Sep 2021,18:40:42,16.38
,12 Sep 21:12,12 Sep 2021,21:12:54,16.44
