Unnamed: 0,DateTime,Date,Time,Nitrate(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,3.33
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,2.77
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,2.8
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,2.79
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,2.78
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,2.79
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,2.8
7.0,10 Aug 00:49,10 Aug 2021,00:49:39,2.82
8.0,10 Aug 08:24,10 Aug 2021,08:24:01,2.83
9.0,10 Aug 10:27,10 Aug 2021,10:27:28,2.84
10.0,10 Aug 19:26,10 Aug 2021,19:26:33,2.86
11.0,10 Aug 20:27,10 Aug 2021,20:27:03,2.85
12.0,10 Aug 21:30,10 Aug 2021,21:30:23,2.86
13.0,11 Aug 10:20,11 Aug 2021,10:20:04,2.84
14.0,11 Aug 16:56,11 Aug 2021,16:56:21,2.85
15.0,11 Aug 18:00,11 Aug 2021,18:00:02,2.81
16.0,12 Aug 10:59,12 Aug 2021,10:59:37,2.74
17.0,12 Aug 12:14,12 Aug 2021,12:14:31,2.76
18.0,16 Aug 10:05,16 Aug 2021,10:05:25,3.13
19.0,16 Aug 11:06,16 Aug 2021,11:06:03,3.17
20.0,16 Aug 15:15,16 Aug 2021,15:15:28,3.15
21.0,16 Aug 16:15,16 Aug 2021,16:15:54,3.09
22.0,16 Aug 17:19,16 Aug 2021,17:19:32,3.06
23.0,16 Aug 18:19,16 Aug 2021,18:19:53,3.07
24.0,16 Aug 23:18,16 Aug 2021,23:18:09,3.14
25.0,19 Aug 21:09,19 Aug 2021,21:09:25,3.1
26.0,19 Aug 22:09,19 Aug 2021,22:09:52,3.2
27.0,23 Aug 15:16,23 Aug 2021,15:16:38,3.19
28.0,23 Aug 18:03,23 Aug 2021,18:03:46,3.03
29.0,28 Aug 10:21,28 Aug 2021,10:21:18,3.25
30.0,28 Aug 11:35,28 Aug 2021,11:35:06,3.27
31.0,28 Aug 12:45,28 Aug 2021,12:45:39,3.26
32.0,28 Aug 15:26,28 Aug 2021,15:26:51,3.15
33.0,28 Aug 18:00,28 Aug 2021,18:00:08,3.03
34.0,28 Aug 19:18,28 Aug 2021,19:18:38,3.05
,03 Sep 02:17,03 Sep 2021,02:17:33,2.44
,03 09 10:54,03 Sep 2021,10:54:46,2.37
,10 Sep 17:38,10 Sep 2021,17:38:26,2.22
,10 Sep 23:30,10 Sep 2021,23:30:16,2.27
,12 Sep 17:30,12 Sep 2021,17:30:03,2.11
,12 Sep 18:42,12 Sep 2021,18:42:45,2.12
,12 Sep 21:12,12 Sep 2021,21:12:54,2.06
,12 Sep 22:53,12 Sep 2021,22:53:57,2.19
