Unnamed: 0,DateTime,Date,Time,Conductivity(µS/cm)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,221.0
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,258.0
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,259.0
3.0,09 Aug 16:29,09 Aug 2021,16:29:24,260.0
4.0,09 Aug 18:30,09 Aug 2021,18:30:16,261.0
5.0,10 Aug 00:49,10 Aug 2021,00:49:39,263.0
6.0,10 Aug 19:26,10 Aug 2021,19:26:33,266.0
7.0,10 Aug 20:27,10 Aug 2021,20:27:03,264.0
8.0,10 Aug 21:30,10 Aug 2021,21:30:23,265.0
9.0,11 Aug 08:47,11 Aug 2021,08:47:06,263.0
10.0,11 Aug 10:20,11 Aug 2021,10:20:04,262.0
11.0,11 Aug 12:13,11 Aug 2021,12:13:36,263.0
12.0,12 Aug 10:59,12 Aug 2021,10:59:37,261.0
13.0,16 Aug 10:05,16 Aug 2021,10:05:25,224.0
14.0,16 Aug 15:15,16 Aug 2021,15:15:28,223.0
15.0,16 Aug 16:15,16 Aug 2021,16:15:54,224.0
16.0,16 Aug 18:19,16 Aug 2021,18:19:53,225.0
17.0,16 Aug 23:18,16 Aug 2021,23:18:09,226.0
18.0,19 Aug 21:09,19 Aug 2021,21:09:25,232.0
19.0,23 Aug 15:16,23 Aug 2021,15:16:38,241.0
20.0,23 Aug 18:03,23 Aug 2021,18:03:46,240.0
,28 Aug 10:21,28 Aug 2021,10:21:18,231.0
,03 09 10:54,03 Sep 2021,10:54:46,232.0
,10 Sep 17:38,10 Sep 2021,17:38:26,237.0
,10 Sep 23:30,10 Sep 2021,23:30:16,236.0
,12 Sep 18:42,12 Sep 2021,18:42:45,242.0
