Unnamed: 0,DateTime,Date,Time,"Color(Pt.Scale,Hz units)"
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,425.8
1.0,16 Aug 15:15,16 Aug 2021,15:15:28,273.15
2.0,16 Aug 17:19,16 Aug 2021,17:19:32,0.0
3.0,16 Aug 19:20,16 Aug 2021,19:20:17,274.75
4.0,16 Aug 23:18,16 Aug 2021,23:18:09,282.37
5.0,17 Aug 00:18,17 Aug 2021,00:18:33,282.81
6.0,19 Aug 21:09,19 Aug 2021,21:09:25,288.62
7.0,19 Aug 22:09,19 Aug 2021,22:09:52,288.65
8.0,23 Aug 15:16,23 Aug 2021,15:16:38,286.83
9.0,28 Aug 10:21,28 Aug 2021,10:21:18,284.16
10.0,28 Aug 12:45,28 Aug 2021,12:45:39,282.7
11.0,28 Aug 15:26,28 Aug 2021,15:26:51,282.5
,03 Sep 02:17,03 Sep 2021,02:17:33,281.53
,10 Sep 17:38,10 Sep 2021,17:38:26,354.62
,10 Sep 23:30,10 Sep 2021,23:30:16,451.68
,12 Sep 17:30,12 Sep 2021,17:30:03,409.9
,12 Sep 18:42,12 Sep 2021,18:42:45,0.0
