Unnamed: 0,DateTime,Date,Time,BOD(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,35.95
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,31.86
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,31.73
3.0,09 Aug 16:29,09 Aug 2021,16:29:24,31.54
4.0,09 Aug 17:29,09 Aug 2021,17:29:51,31.32
5.0,09 Aug 18:30,09 Aug 2021,18:30:16,31.73
6.0,09 Aug 19:30,09 Aug 2021,19:30:40,34.98
7.0,10 Aug 00:49,10 Aug 2021,00:49:39,33.11
8.0,10 Aug 09:26,10 Aug 2021,09:26:56,30.85
9.0,10 Aug 10:27,10 Aug 2021,10:27:28,32.15
10.0,10 Aug 19:26,10 Aug 2021,19:26:33,0.0
11.0,11 Aug 08:47,11 Aug 2021,08:47:06,29.54
12.0,11 Aug 10:20,11 Aug 2021,10:20:04,31.73
13.0,11 Aug 12:13,11 Aug 2021,12:13:36,31.96
14.0,11 Aug 16:56,11 Aug 2021,16:56:21,33.25
15.0,11 Aug 18:00,11 Aug 2021,18:00:02,32.53
16.0,12 Aug 10:59,12 Aug 2021,10:59:37,32.81
17.0,12 Aug 12:14,12 Aug 2021,12:14:31,32.93
18.0,16 Aug 10:05,16 Aug 2021,10:05:25,30.68
19.0,16 Aug 11:06,16 Aug 2021,11:06:03,34.28
20.0,16 Aug 15:15,16 Aug 2021,15:15:28,33.02
21.0,16 Aug 16:15,16 Aug 2021,16:15:54,30.39
22.0,16 Aug 17:19,16 Aug 2021,17:19:32,29.67
23.0,16 Aug 18:19,16 Aug 2021,18:19:53,32.21
24.0,16 Aug 19:20,16 Aug 2021,19:20:17,31.08
25.0,16 Aug 23:18,16 Aug 2021,23:18:09,31.16
26.0,19 Aug 21:09,19 Aug 2021,21:09:25,29.64
27.0,19 Aug 22:09,19 Aug 2021,22:09:52,29.48
28.0,23 Aug 15:16,23 Aug 2021,15:16:38,32.65
29.0,23 Aug 18:03,23 Aug 2021,18:03:46,31.9
30.0,28 Aug 10:21,28 Aug 2021,10:21:18,31.17
31.0,28 Aug 11:35,28 Aug 2021,11:35:06,35.91
32.0,28 Aug 12:45,28 Aug 2021,12:45:39,31.41
33.0,28 Aug 15:26,28 Aug 2021,15:26:51,30.68
34.0,28 Aug 18:00,28 Aug 2021,18:00:08,31.55
35.0,28 Aug 19:18,28 Aug 2021,19:18:38,31.52
,03 Sep 02:17,03 Sep 2021,02:17:33,37.09
,03 09 10:54,03 Sep 2021,10:54:46,37.64
,10 Sep 17:38,10 Sep 2021,17:38:26,31.62
,10 Sep 23:30,10 Sep 2021,23:30:16,31.22
,12 Sep 17:30,12 Sep 2021,17:30:03,33.4
,12 Sep 18:42,12 Sep 2021,18:42:45,32.18
,12 Sep 21:12,12 Sep 2021,21:12:54,32.12
,12 Sep 22:53,12 Sep 2021,22:53:57,32.38
