Unnamed: 0,DateTime,Date,Time,"Color(Pt.Scale,Hz units)"
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,512.09
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,0.0
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,244.29
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,199.5
4.0,09 Aug 16:29,09 Aug 2021,16:29:24,2803.93
5.0,09 Aug 18:30,09 Aug 2021,18:30:16,194.11
6.0,09 Aug 19:30,09 Aug 2021,19:30:40,154.5
7.0,10 Aug 00:49,10 Aug 2021,00:49:39,1582.26
8.0,10 Aug 08:24,10 Aug 2021,08:24:01,180.23
9.0,10 Aug 09:26,10 Aug 2021,09:26:56,208.96
10.0,10 Aug 10:27,10 Aug 2021,10:27:28,266.72
11.0,10 Aug 19:26,10 Aug 2021,19:26:33,245.12
12.0,10 Aug 20:27,10 Aug 2021,20:27:03,248.03
13.0,10 Aug 21:30,10 Aug 2021,21:30:23,244.28
14.0,11 Aug 08:47,11 Aug 2021,08:47:06,0.0
15.0,11 Aug 16:56,11 Aug 2021,16:56:21,244.64
16.0,11 Aug 18:00,11 Aug 2021,18:00:02,244.68
17.0,12 Aug 10:59,12 Aug 2021,10:59:37,243.89
18.0,12 Aug 12:14,12 Aug 2021,12:14:31,244.73
19.0,16 Aug 10:05,16 Aug 2021,10:05:25,243.9
20.0,16 Aug 15:15,16 Aug 2021,15:15:28,245.05
21.0,16 Aug 17:19,16 Aug 2021,17:19:32,245.0
22.0,16 Aug 19:20,16 Aug 2021,19:20:17,245.73
23.0,16 Aug 23:18,16 Aug 2021,23:18:09,245.96
24.0,17 Aug 00:18,17 Aug 2021,00:18:33,245.05
25.0,19 Aug 21:09,19 Aug 2021,21:09:25,247.3
26.0,19 Aug 22:09,19 Aug 2021,22:09:52,244.89
27.0,23 Aug 15:16,23 Aug 2021,15:16:38,245.0
28.0,23 Aug 18:03,23 Aug 2021,18:03:46,245.2
29.0,28 Aug 10:21,28 Aug 2021,10:21:18,0.0
,03 Sep 02:17,03 Sep 2021,02:17:33,318.83
,03 09 10:54,03 Sep 2021,10:54:46,0.0
,10 Sep 17:38,10 Sep 2021,17:38:26,203.34
,10 Sep 23:30,10 Sep 2021,23:30:16,198.91
,12 Sep 17:30,12 Sep 2021,17:30:03,204.45
,12 Sep 18:42,12 Sep 2021,18:42:45,204.42
,12 Sep 21:12,12 Sep 2021,21:12:54,202.47
,12 Sep 22:53,12 Sep 2021,22:53:57,201.74
