Unnamed: 0,DateTime,Date,Time,Water Level(cm.)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,389.81
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,434.4
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,554.91
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,632.32
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,580.47
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,516.38
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,458.82
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,410.37
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,371.12
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,495.44
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,340.22
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,311.61
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,286.08
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,393.24
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,355.48
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,323.43
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,359.29
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,297.87
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,403.89
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,594.21
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,524.78
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,317.33
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,268.54
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,409.23
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,371.5
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,306.65
26.0,16 Aug 16:15,16 Aug 2021,16:15:54,401.22
27.0,16 Aug 17:19,16 Aug 2021,17:19:32,474.08
28.0,16 Aug 18:19,16 Aug 2021,18:19:53,522.11
29.0,16 Aug 19:20,16 Aug 2021,19:20:17,528.21
30.0,16 Aug 23:18,16 Aug 2021,23:18:09,417.24
31.0,17 Aug 00:18,17 Aug 2021,00:18:33,347.08
32.0,19 Aug 21:09,19 Aug 2021,21:09:25,438.6
33.0,19 Aug 22:09,19 Aug 2021,22:09:52,496.59
34.0,23 Aug 15:16,23 Aug 2021,15:16:38,573.23
35.0,23 Aug 18:03,23 Aug 2021,18:03:46,403.12
36.0,28 Aug 10:21,28 Aug 2021,10:21:18,333.73
37.0,28 Aug 11:35,28 Aug 2021,11:35:06,306.65
38.0,28 Aug 12:45,28 Aug 2021,12:45:39,285.32
39.0,28 Aug 15:26,28 Aug 2021,15:26:51,498.11
40.0,28 Aug 18:00,28 Aug 2021,18:00:08,541.94
41.0,28 Aug 19:18,28 Aug 2021,19:18:38,453.48
,03 Sep 02:17,03 Sep 2021,02:17:33,363.11
,03 09 10:54,03 Sep 2021,10:54:46,471.03
,10 Sep 17:38,10 Sep 2021,17:38:26,513.33
,10 Sep 23:30,10 Sep 2021,23:30:16,276.55
,12 Sep 22:00,12 Sep 2021,22:00:04,376.08
