Unnamed: 0,DateTime,Date,Time,Floride(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,0.51
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,0.6
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,0.59
3.0,10 Aug 00:49,10 Aug 2021,00:49:39,0.6
4.0,10 Aug 19:26,10 Aug 2021,19:26:33,0.59
5.0,11 Aug 08:47,11 Aug 2021,08:47:06,0.6
6.0,11 Aug 10:20,11 Aug 2021,10:20:04,0.59
7.0,12 Aug 12:14,12 Aug 2021,12:14:31,0.58
8.0,16 Aug 10:05,16 Aug 2021,10:05:25,0.22
9.0,19 Aug 21:09,19 Aug 2021,21:09:25,0.21
10.0,23 Aug 15:16,23 Aug 2021,15:16:38,0.22
11.0,28 Aug 10:21,28 Aug 2021,10:21:18,0.21
,03 Sep 02:17,03 Sep 2021,02:17:33,0.2
,10 Sep 17:38,10 Sep 2021,17:38:26,0.07
,10 Sep 23:30,10 Sep 2021,23:30:16,0.06
