Unnamed: 0,DateTime,Date,Time,"Color(Pt.Scale,Hz units)"
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,35.53
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,38.95
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,0.0
3.0,09 Aug 16:29,09 Aug 2021,16:29:24,39.8
4.0,09 Aug 17:29,09 Aug 2021,17:29:51,40.0
5.0,09 Aug 18:30,09 Aug 2021,18:30:16,41.22
6.0,10 Aug 19:26,10 Aug 2021,19:26:33,40.8
7.0,11 Aug 16:56,11 Aug 2021,16:56:21,41.91
8.0,11 Aug 18:00,11 Aug 2021,18:00:02,41.77
9.0,12 Aug 10:57,12 Aug 2021,10:57:56,42.29
10.0,16 Aug 10:05,16 Aug 2021,10:05:25,45.18
11.0,16 Aug 15:15,16 Aug 2021,15:15:28,45.58
12.0,16 Aug 16:15,16 Aug 2021,16:15:54,45.82
13.0,16 Aug 17:19,16 Aug 2021,17:19:32,45.55
14.0,16 Aug 18:19,16 Aug 2021,18:19:53,48.05
15.0,16 Aug 19:20,16 Aug 2021,19:20:17,45.99
16.0,16 Aug 23:18,16 Aug 2021,23:18:09,46.62
17.0,19 Aug 21:09,19 Aug 2021,21:09:25,47.67
18.0,23 Aug 15:16,23 Aug 2021,15:16:38,47.66
19.0,23 Aug 18:03,23 Aug 2021,18:03:46,47.42
20.0,28 Aug 10:21,28 Aug 2021,10:21:18,41.5
21.0,28 Aug 11:35,28 Aug 2021,11:35:06,44.98
22.0,28 Aug 12:45,28 Aug 2021,12:45:39,43.31
23.0,28 Aug 15:26,28 Aug 2021,15:26:51,41.95
24.0,28 Aug 18:00,28 Aug 2021,18:00:08,40.97
25.0,28 Aug 19:18,28 Aug 2021,19:18:38,41.05
,03 Sep 02:17,03 Sep 2021,02:17:33,41.59
,03 09 10:54,03 Sep 2021,10:54:46,41.56
,10 Sep 17:38,10 Sep 2021,17:38:26,42.28
,10 Sep 23:30,10 Sep 2021,23:30:16,49.59
,12 Sep 16:50,12 Sep 2021,16:50:46,43.86
,12 Sep 17:30,12 Sep 2021,17:30:03,43.03
,12 Sep 18:34,12 Sep 2021,18:34:02,42.66
,12 Sep 21:12,12 Sep 2021,21:12:54,42.8
,12 Sep 22:53,12 Sep 2021,22:53:57,42.73
