Unnamed: 0,DateTime,Date,Time,Temperature(°C)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,30.5
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,31.0
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,31.1
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,31.2
4.0,09 Aug 16:29,09 Aug 2021,16:29:24,31.1
5.0,09 Aug 17:29,09 Aug 2021,17:29:51,31.2
6.0,09 Aug 19:30,09 Aug 2021,19:30:40,31.1
7.0,10 Aug 08:24,10 Aug 2021,08:24:01,31.0
8.0,10 Aug 09:26,10 Aug 2021,09:26:56,31.1
9.0,10 Aug 10:27,10 Aug 2021,10:27:28,31.4
10.0,10 Aug 19:26,10 Aug 2021,19:26:33,31.3
11.0,11 Aug 08:47,11 Aug 2021,08:47:06,31.2
12.0,11 Aug 10:20,11 Aug 2021,10:20:04,31.4
13.0,11 Aug 12:13,11 Aug 2021,12:13:36,32.5
14.0,11 Aug 16:56,11 Aug 2021,16:56:21,31.6
15.0,12 Aug 10:59,12 Aug 2021,10:59:37,31.4
16.0,12 Aug 12:14,12 Aug 2021,12:14:31,31.9
17.0,16 Aug 10:05,16 Aug 2021,10:05:25,31.7
18.0,16 Aug 15:15,16 Aug 2021,15:15:28,32.6
19.0,16 Aug 16:15,16 Aug 2021,16:15:54,31.8
20.0,16 Aug 23:18,16 Aug 2021,23:18:09,31.7
21.0,17 Aug 00:18,17 Aug 2021,00:18:33,31.6
22.0,19 Aug 21:09,19 Aug 2021,21:09:25,31.1
23.0,23 Aug 15:16,23 Aug 2021,15:16:38,31.2
24.0,28 Aug 10:21,28 Aug 2021,10:21:18,31.3
25.0,28 Aug 11:35,28 Aug 2021,11:35:06,31.4
26.0,28 Aug 12:45,28 Aug 2021,12:45:39,32.7
27.0,28 Aug 15:26,28 Aug 2021,15:26:51,31.5
,03 Sep 02:17,03 Sep 2021,02:17:33,31.1
,03 09 10:54,03 Sep 2021,10:54:46,31.3
,10 Sep 17:38,10 Sep 2021,17:38:26,31.6
,10 Sep 23:30,10 Sep 2021,23:30:16,30.2
,12 Sep 18:42,12 Sep 2021,18:42:45,31.6
