Unnamed: 0,DateTime,Date,Time,COD(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,51.54
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,54.63
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,54.59
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,54.54
4.0,09 Aug 17:29,09 Aug 2021,17:29:51,54.55
5.0,09 Aug 18:30,09 Aug 2021,18:30:16,54.54
6.0,09 Aug 19:30,09 Aug 2021,19:30:40,54.57
7.0,10 Aug 00:49,10 Aug 2021,00:49:39,54.63
8.0,10 Aug 09:26,10 Aug 2021,09:26:56,54.61
9.0,10 Aug 19:26,10 Aug 2021,19:26:33,54.54
10.0,10 Aug 20:27,10 Aug 2021,20:27:03,54.59
11.0,10 Aug 21:30,10 Aug 2021,21:30:23,54.62
12.0,11 Aug 08:47,11 Aug 2021,08:47:06,54.6
13.0,11 Aug 10:20,11 Aug 2021,10:20:04,54.54
14.0,11 Aug 12:13,11 Aug 2021,12:13:36,54.53
15.0,11 Aug 18:00,11 Aug 2021,18:00:02,54.5
16.0,12 Aug 10:59,12 Aug 2021,10:59:37,54.59
17.0,16 Aug 10:05,16 Aug 2021,10:05:25,54.42
18.0,16 Aug 11:06,16 Aug 2021,11:06:03,54.44
19.0,16 Aug 15:15,16 Aug 2021,15:15:28,54.31
20.0,16 Aug 16:15,16 Aug 2021,16:15:54,53.82
21.0,16 Aug 17:19,16 Aug 2021,17:19:32,53.85
22.0,16 Aug 18:19,16 Aug 2021,18:19:53,53.92
23.0,16 Aug 19:20,16 Aug 2021,19:20:17,53.94
24.0,16 Aug 23:18,16 Aug 2021,23:18:09,54.13
25.0,19 Aug 21:09,19 Aug 2021,21:09:25,50.27
26.0,19 Aug 22:09,19 Aug 2021,22:09:52,49.97
27.0,23 Aug 15:16,23 Aug 2021,15:16:38,49.54
28.0,23 Aug 18:03,23 Aug 2021,18:03:46,49.56
29.0,28 Aug 10:21,28 Aug 2021,10:21:18,49.1
30.0,28 Aug 11:35,28 Aug 2021,11:35:06,49.12
31.0,28 Aug 12:45,28 Aug 2021,12:45:39,49.11
32.0,28 Aug 15:26,28 Aug 2021,15:26:51,49.12
33.0,28 Aug 18:00,28 Aug 2021,18:00:08,49.2
34.0,28 Aug 19:18,28 Aug 2021,19:18:38,49.21
,03 Sep 02:17,03 Sep 2021,02:17:33,46.98
,10 Sep 17:38,10 Sep 2021,17:38:26,46.99
,10 Sep 23:30,10 Sep 2021,23:30:16,46.98
,12 Sep 18:42,12 Sep 2021,18:42:45,46.99
,12 Sep 22:00,12 Sep 2021,22:00:04,46.94
,12 Sep 22:53,12 Sep 2021,22:53:57,46.99
