Unnamed: 0,DateTime,Date,Time,Chloride(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,11.2
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,4.7
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,17.9
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,9.6
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,6.4
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,6.0
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,5.7
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,5.6
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,5.5
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,6.5
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,4.3
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,4.4
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,3.4
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,4.1
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,4.3
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,3.3
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,2.6
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,4.2
18.0,11 Aug 16:56,11 Aug 2021,16:56:21,3.1
19.0,11 Aug 18:00,11 Aug 2021,18:00:02,3.0
20.0,12 Aug 10:59,12 Aug 2021,10:59:37,3.8
21.0,12 Aug 12:14,12 Aug 2021,12:14:31,1.4
22.0,16 Aug 10:05,16 Aug 2021,10:05:25,3.5
23.0,16 Aug 11:06,16 Aug 2021,11:06:03,3.6
24.0,16 Aug 15:15,16 Aug 2021,15:15:28,3.2
25.0,16 Aug 16:15,16 Aug 2021,16:15:54,4.0
26.0,16 Aug 17:19,16 Aug 2021,17:19:32,10.0
27.0,16 Aug 18:19,16 Aug 2021,18:19:53,6.1
28.0,16 Aug 19:20,16 Aug 2021,19:20:17,5.0
29.0,16 Aug 23:18,16 Aug 2021,23:18:09,4.1
30.0,19 Aug 21:09,19 Aug 2021,21:09:25,25.6
31.0,19 Aug 22:09,19 Aug 2021,22:09:52,18.1
32.0,23 Aug 15:16,23 Aug 2021,15:16:38,4.1
33.0,23 Aug 18:03,23 Aug 2021,18:03:46,4.2
34.0,28 Aug 10:21,28 Aug 2021,10:21:18,4.7
35.0,28 Aug 11:35,28 Aug 2021,11:35:06,4.8
36.0,28 Aug 12:45,28 Aug 2021,12:45:39,5.6
37.0,28 Aug 15:26,28 Aug 2021,15:26:51,7.6
38.0,28 Aug 18:00,28 Aug 2021,18:00:08,5.2
39.0,28 Aug 19:18,28 Aug 2021,19:18:38,4.8
,03 Sep 02:17,03 Sep 2021,02:17:33,18.6
,03 09 10:54,03 Sep 2021,10:54:46,14.3
,10 Sep 17:38,10 Sep 2021,17:38:26,4.2
,10 Sep 23:30,10 Sep 2021,23:30:16,5.1
,12 Sep 18:42,12 Sep 2021,18:42:45,4.1
,12 Sep 22:00,12 Sep 2021,22:00:04,4.2
