Unnamed: 0,DateTime,Date,Time,Potassium(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,
1.0,04 Aug 14:28,04 Aug 2021,14:28:10,0.0
2.0,09 Aug 11:41,09 Aug 2021,11:41:48,5.03
3.0,09 Aug 12:57,09 Aug 2021,12:57:04,4.78
4.0,09 Aug 13:57,09 Aug 2021,13:57:19,4.65
5.0,09 Aug 15:16,09 Aug 2021,15:16:19,4.67
6.0,09 Aug 16:29,09 Aug 2021,16:29:24,4.55
7.0,09 Aug 17:29,09 Aug 2021,17:29:51,4.65
8.0,09 Aug 18:30,09 Aug 2021,18:30:16,4.75
9.0,09 Aug 19:30,09 Aug 2021,19:30:40,4.79
10.0,10 Aug 00:49,10 Aug 2021,00:49:39,4.91
11.0,10 Aug 08:24,10 Aug 2021,08:24:01,5.19
12.0,10 Aug 09:26,10 Aug 2021,09:26:56,5.21
13.0,10 Aug 10:27,10 Aug 2021,10:27:28,5.24
14.0,10 Aug 19:26,10 Aug 2021,19:26:33,4.86
15.0,10 Aug 20:27,10 Aug 2021,20:27:03,4.78
16.0,10 Aug 21:30,10 Aug 2021,21:30:23,4.83
17.0,11 Aug 08:47,11 Aug 2021,08:47:06,4.89
18.0,11 Aug 10:20,11 Aug 2021,10:20:04,4.68
19.0,11 Aug 12:13,11 Aug 2021,12:13:36,4.57
20.0,11 Aug 16:56,11 Aug 2021,16:56:21,4.45
21.0,11 Aug 18:00,11 Aug 2021,18:00:02,4.42
22.0,12 Aug 10:59,12 Aug 2021,10:59:37,4.67
23.0,12 Aug 12:14,12 Aug 2021,12:14:31,4.7
24.0,16 Aug 10:05,16 Aug 2021,10:05:25,5.33
25.0,16 Aug 11:06,16 Aug 2021,11:06:03,5.35
26.0,16 Aug 15:15,16 Aug 2021,15:15:28,5.14
27.0,16 Aug 17:19,16 Aug 2021,17:19:32,5.12
28.0,16 Aug 18:19,16 Aug 2021,18:19:53,5.05
29.0,16 Aug 23:18,16 Aug 2021,23:18:09,5.13
30.0,19 Aug 21:09,19 Aug 2021,21:09:25,5.07
31.0,23 Aug 15:16,23 Aug 2021,15:16:38,5.27
32.0,23 Aug 18:03,23 Aug 2021,18:03:46,5.26
33.0,28 Aug 10:21,28 Aug 2021,10:21:18,6.14
34.0,28 Aug 11:35,28 Aug 2021,11:35:06,6.09
35.0,28 Aug 15:26,28 Aug 2021,15:26:51,6.05
36.0,28 Aug 18:00,28 Aug 2021,18:00:08,6.02
37.0,28 Aug 19:18,28 Aug 2021,19:18:38,5.94
,03 Sep 02:17,03 Sep 2021,02:17:33,5.76
,03 09 10:54,03 Sep 2021,10:54:46,5.59
,10 Sep 17:38,10 Sep 2021,17:38:26,6.26
,10 Sep 23:30,10 Sep 2021,23:30:16,6.09
,12 Sep 17:30,12 Sep 2021,17:30:03,5.7
,12 Sep 18:42,12 Sep 2021,18:42:45,0.0
