,Location's,Name Of The River,Latitude,Longitude
63,Location-64,10154-RIVER GANGA AT BATHING GHAT (BHARAOGHAT),25.51411,83.850678
64,Location-65,10155-RIVER GANGA AT D/S (SHUKLAGANJ),26.47419,80.376139
65,Location-66,10156-RIVER GANGA AT BATHING GHAT (GOLA GHAT),25.58012,83.589787
66,Location-67,10157-RIVER GANGA AT BATHING GHAT (JAJMAU BRIDGE),26.43432,80.408587
67,Location-68,"10158-RIVER GANGA A/C TAMSA RIVER, SIRSA, SON BARSA",25.25936,82.096478
68,Location-69,30006-RIVER GANGA AT BIJNOR (U.P.),29.37316,78.036474
69,Location-70,30075-RIVER GANGA AT TARIGHAT GHAZIPUR (U.P.),25.57715,83.584219
70,Location-71,"1060-RIVER GANGA AT RISHIKESH U/S,",30.11513,78.307032
71,Location-72,"1061-RIVER GANGA AT HARIDWAR D/S, UPPER GANGA CANAL D/S BALKUMARI MANDIR, AJE",29.94525,78.164675
72,Location-73,2725-RIVER GANGA AFTER CONFLUENCE OF SONG NEAR SATYANARAYAN TEMPLE D/S RAIWAL,30.01961,78.229390
73,Location-74,"2727-RIVER GANGA AT UPPER GANGA CANAL D/S ROORKEE, HARIDWAR",29.85166,77.879742
74,Location-75,"3997-RIVER GANGA U/S HARIDWAR AT ABINDUGHAT, DUDHIYABAD, HARIDWAR",29.94544,78.165028
75,Location-76,10147-RIVER GANGA D/S RISHIKESH,30.03050,78.245833
76,Location-77,10148-RIVER GANGA AT HAR-KI-PAURI GHAT,29.94355,78.166796
77,Location-78,30005-RIVER GANGA AT SULTANPUR (UTTARAKHAND),29.64007,78.103486
78,Location-79,"1052-RIVER GANGA AT ULUBERIA , HOWRAH,WEST BENGAL",22.45347,88.115051
79,Location-80,"1053-RIVER GANGA AT DAKSHMINESHWAR, KOLKATA, WEST BENGAL",22.65306,88.357589
80,Location-81,1054-RIVER GANGA AT PALTA WEST BENGAL,22.78018,88.333800
81,Location-82,"1080-RIVER GANGA AT BAHARAMPORE, MURSHIDABAD, WEST BENGAL",24.10031,88.244054
82,Location-83,1335-RIVER GANGA AT PATIKALI NEAR DURGA CHAK WEST BENGAL,22.06648,88.068869
83,Location-84,"1469-RIVER GANGA AT DIAMOND HARBOUR, 24 PARGANAS (S)WEST BENGAL",22.18338,88.193783
84,Location-85,"1470-RIVER GANGA AT GARDEN REACH, KOLKATA, WEST BENGAL",22.54971,88.296125
85,Location-86,1471-RIVER GANGA AT HOWRAH-SHIVPUR WEST BENGAL,22.55829,88.324394
86,Location-87,"1472-RIVER GANGA AT SERAMPORE, HOOGHLY,WEST BENGAL",22.76130,88.340319
87,Location-88,"2506-RIVER TRIBENI ON GANGA, NEAR BURNING GHAT, HOOGHLY",22.98440,88.401970
88,Location-89,"2511-RIVER NABADIP ON GANGA, GHOSHPARA NEAR MONIPURGHAT,NADIA",23.38672,88.364884
89,Location-90,"10159-RIVER GANGA AT BEHRAMPORE(KHAGRA), MURSHIDABAD",24.10016,88.245205
90,Location-91,"10160-RIVER GANGA AT BEHRAMPORE, (GORA BAZAR),MURSHIDABAD",24.10100,88.243238
91,Location-92,"10161-RIVER GANGA AT PALTA, SHITALTALA,",22.77497,88.334278
