,DateTime,Date,Time,BTX(µg/ml)
0,04 Aug 14:26,04 Aug 2021,14:26:24,0.01
1,09 Aug 15:16,09 Aug 2021,15:16:19,0.0
2,09 Aug 16:29,09 Aug 2021,16:29:24,0.01
