Unnamed: 0,DateTime,Date,Time,TOC(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,6.8
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,6.39
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,6.43
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,6.57
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,6.46
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,6.44
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,6.51
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,6.49
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,6.59
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,6.57
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,6.76
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,6.71
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,6.83
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,6.22
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,6.21
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,6.27
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,6.32
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,6.33
18.0,11 Aug 16:56,11 Aug 2021,16:56:21,5.93
19.0,11 Aug 18:00,11 Aug 2021,18:00:02,5.89
20.0,12 Aug 10:59,12 Aug 2021,10:59:37,5.72
21.0,12 Aug 12:14,12 Aug 2021,12:14:31,5.69
22.0,16 Aug 10:05,16 Aug 2021,10:05:25,6.14
23.0,16 Aug 11:06,16 Aug 2021,11:06:03,5.98
24.0,16 Aug 15:15,16 Aug 2021,15:15:28,6.13
25.0,16 Aug 16:15,16 Aug 2021,16:15:54,6.02
26.0,16 Aug 17:19,16 Aug 2021,17:19:32,0.0
27.0,16 Aug 18:19,16 Aug 2021,18:19:53,6.3
28.0,16 Aug 19:20,16 Aug 2021,19:20:17,6.07
29.0,16 Aug 23:18,16 Aug 2021,23:18:09,6.08
30.0,19 Aug 21:09,19 Aug 2021,21:09:25,6.16
31.0,19 Aug 22:09,19 Aug 2021,22:09:52,6.12
32.0,23 Aug 15:16,23 Aug 2021,15:16:38,5.69
33.0,23 Aug 18:03,23 Aug 2021,18:03:46,5.61
34.0,28 Aug 10:21,28 Aug 2021,10:21:18,5.36
35.0,28 Aug 11:35,28 Aug 2021,11:35:06,5.42
36.0,28 Aug 12:45,28 Aug 2021,12:45:39,5.37
37.0,28 Aug 15:26,28 Aug 2021,15:26:51,5.43
38.0,28 Aug 18:00,28 Aug 2021,18:00:08,5.52
39.0,28 Aug 19:18,28 Aug 2021,19:18:38,5.45
,03 Sep 02:17,03 Sep 2021,02:17:33,5.46
,03 09 10:54,03 Sep 2021,10:54:46,5.34
,10 Sep 17:38,10 Sep 2021,17:38:26,5.23
,10 Sep 23:30,10 Sep 2021,23:30:16,5.35
,12 Sep 17:30,12 Sep 2021,17:30:03,5.57
,12 Sep 18:42,12 Sep 2021,18:42:45,5.65
,12 Sep 21:12,12 Sep 2021,21:12:54,5.64
,12 Sep 22:53,12 Sep 2021,22:53:57,5.6
