Unnamed: 0,DateTime,Date,Time,COD(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,32.26
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,0.0
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,31.98
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,32.0
4.0,09 Aug 16:29,09 Aug 2021,16:29:24,32.07
5.0,09 Aug 17:29,09 Aug 2021,17:29:51,31.91
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,35.97
7.0,09 Aug 19:30,09 Aug 2021,19:30:40,34.71
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,33.44
9.0,10 Aug 08:24,10 Aug 2021,08:24:01,32.26
10.0,10 Aug 09:26,10 Aug 2021,09:26:56,32.31
11.0,10 Aug 19:26,10 Aug 2021,19:26:33,32.18
12.0,10 Aug 20:27,10 Aug 2021,20:27:03,32.23
13.0,10 Aug 21:30,10 Aug 2021,21:30:23,32.29
14.0,11 Aug 08:47,11 Aug 2021,08:47:06,28.89
15.0,11 Aug 10:20,11 Aug 2021,10:20:04,28.91
16.0,11 Aug 16:56,11 Aug 2021,16:56:21,32.71
17.0,11 Aug 18:00,11 Aug 2021,18:00:02,32.7
18.0,12 Aug 10:59,12 Aug 2021,10:59:37,31.52
19.0,12 Aug 12:14,12 Aug 2021,12:14:31,31.34
20.0,16 Aug 10:05,16 Aug 2021,10:05:25,31.24
21.0,16 Aug 15:15,16 Aug 2021,15:15:28,31.68
22.0,16 Aug 16:15,16 Aug 2021,16:15:54,31.45
23.0,16 Aug 17:19,16 Aug 2021,17:19:32,31.25
24.0,16 Aug 19:20,16 Aug 2021,19:20:17,31.1
25.0,16 Aug 23:18,16 Aug 2021,23:18:09,30.99
26.0,19 Aug 21:09,19 Aug 2021,21:09:25,48.82
27.0,19 Aug 22:09,19 Aug 2021,22:09:52,48.71
28.0,23 Aug 15:16,23 Aug 2021,15:16:38,0.0
29.0,28 Aug 10:21,28 Aug 2021,10:21:18,49.61
30.0,28 Aug 11:35,28 Aug 2021,11:35:06,49.57
31.0,28 Aug 15:26,28 Aug 2021,15:26:51,58.12
32.0,28 Aug 18:00,28 Aug 2021,18:00:08,0.0
33.0,28 Aug 19:18,28 Aug 2021,19:18:38,26.47
,03 Sep 02:17,03 Sep 2021,02:17:33,34.45
,03 09 10:54,03 Sep 2021,10:54:46,34.48
,10 Sep 17:38,10 Sep 2021,17:38:26,34.82
,10 Sep 23:30,10 Sep 2021,23:30:16,35.67
,12 Sep 17:30,12 Sep 2021,17:30:03,35.35
,12 Sep 18:42,12 Sep 2021,18:42:45,35.27
,12 Sep 21:12,12 Sep 2021,21:12:54,36.08
,12 Sep 22:53,12 Sep 2021,22:53:57,35.97
