Unnamed: 0,DateTime,Date,Time,Temperature(°C)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,28.7
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,30.0
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,30.1
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,30.3
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,30.6
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,30.8
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,30.9
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,30.8
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,30.7
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,30.3
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,29.6
11.0,10 Aug 19:26,10 Aug 2021,19:26:33,30.6
12.0,10 Aug 20:27,10 Aug 2021,20:27:03,30.7
13.0,10 Aug 21:30,10 Aug 2021,21:30:23,30.6
14.0,11 Aug 08:47,11 Aug 2021,08:47:06,29.6
15.0,11 Aug 10:20,11 Aug 2021,10:20:04,29.5
16.0,11 Aug 12:13,11 Aug 2021,12:13:36,29.7
17.0,11 Aug 16:56,11 Aug 2021,16:56:21,30.7
18.0,11 Aug 18:00,11 Aug 2021,18:00:02,30.9
19.0,12 Aug 10:59,12 Aug 2021,10:59:37,29.8
20.0,12 Aug 12:14,12 Aug 2021,12:14:31,30.1
21.0,16 Aug 10:05,16 Aug 2021,10:05:25,30.2
22.0,16 Aug 11:06,16 Aug 2021,11:06:03,30.4
23.0,16 Aug 15:15,16 Aug 2021,15:15:28,31.4
24.0,16 Aug 16:15,16 Aug 2021,16:15:54,31.6
25.0,16 Aug 17:19,16 Aug 2021,17:19:32,31.8
26.0,16 Aug 18:19,16 Aug 2021,18:19:53,31.9
27.0,16 Aug 23:18,16 Aug 2021,23:18:09,31.7
28.0,19 Aug 21:09,19 Aug 2021,21:09:25,32.0
29.0,19 Aug 22:09,19 Aug 2021,22:09:52,31.9
30.0,23 Aug 15:16,23 Aug 2021,15:16:38,31.7
31.0,23 Aug 18:03,23 Aug 2021,18:03:46,32.1
32.0,28 Aug 10:21,28 Aug 2021,10:21:18,29.9
33.0,28 Aug 11:35,28 Aug 2021,11:35:06,30.0
34.0,28 Aug 12:45,28 Aug 2021,12:45:39,30.1
35.0,28 Aug 15:26,28 Aug 2021,15:26:51,30.7
36.0,28 Aug 18:00,28 Aug 2021,18:00:08,31.0
37.0,28 Aug 19:18,28 Aug 2021,19:18:38,31.1
,03 Sep 02:17,03 Sep 2021,02:17:33,30.3
,03 09 10:54,03 Sep 2021,10:54:46,29.9
,10 Sep 17:38,10 Sep 2021,17:38:26,30.9
,10 Sep 23:30,10 Sep 2021,23:30:16,30.7
,12 Sep 17:30,12 Sep 2021,17:30:03,31.0
,12 Sep 21:12,12 Sep 2021,21:12:54,30.7
,12 Sep 22:53,12 Sep 2021,22:53:57,30.6
