Unnamed: 0,DateTime,Date,Time,Chloride(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,17.4
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,20.3
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,20.7
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,25.8
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,22.9
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,0.0
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,23.8
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,22.1
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,20.1
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,22.1
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,21.3
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,21.0
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,21.3
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,21.0
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,21.1
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,21.0
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,35.4
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,40.8
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,45.7
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,19.5
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,48.2
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,21.0
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,21.1
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,19.4
24.0,16 Aug 15:15,16 Aug 2021,15:15:28,41.8
25.0,16 Aug 16:15,16 Aug 2021,16:15:54,23.0
26.0,16 Aug 17:19,16 Aug 2021,17:19:32,18.4
27.0,16 Aug 19:20,16 Aug 2021,19:20:17,26.1
28.0,16 Aug 23:18,16 Aug 2021,23:18:09,39.0
29.0,19 Aug 21:09,19 Aug 2021,21:09:25,1215.2
30.0,19 Aug 22:09,19 Aug 2021,22:09:52,41.1
31.0,23 Aug 15:16,23 Aug 2021,15:16:38,11.6
32.0,23 Aug 18:03,23 Aug 2021,18:03:46,13.7
33.0,28 Aug 10:21,28 Aug 2021,10:21:18,16.8
34.0,28 Aug 11:35,28 Aug 2021,11:35:06,16.5
35.0,28 Aug 15:26,28 Aug 2021,15:26:51,17.4
36.0,28 Aug 18:00,28 Aug 2021,18:00:08,17.5
37.0,28 Aug 19:18,28 Aug 2021,19:18:38,17.1
,03 Sep 02:17,03 Sep 2021,02:17:33,13.5
,03 09 10:54,03 Sep 2021,10:54:46,12.9
,10 Sep 17:38,10 Sep 2021,17:38:26,15.6
,10 Sep 23:30,10 Sep 2021,23:30:16,55.9
,12 Sep 17:30,12 Sep 2021,17:30:03,12.4
,12 Sep 18:42,12 Sep 2021,18:42:45,12.7
,12 Sep 21:12,12 Sep 2021,21:12:54,12.3
,12 Sep 22:53,12 Sep 2021,22:53:57,12.5
