Unnamed: 0,DateTime,Date,Time,Nitrate(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,2.62
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,2.4
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,2.51
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,2.45
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,2.28
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,2.24
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,2.43
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,2.32
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,2.34
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,2.25
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,2.39
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,2.44
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,2.4
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,2.74
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,2.79
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,2.73
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,2.81
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,2.71
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,2.75
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,2.79
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,2.85
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,2.59
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,2.69
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,2.65
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,2.71
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,2.67
26.0,16 Aug 16:15,16 Aug 2021,16:15:54,2.75
27.0,16 Aug 17:19,16 Aug 2021,17:19:32,2.77
28.0,16 Aug 18:19,16 Aug 2021,18:19:53,2.98
29.0,16 Aug 19:20,16 Aug 2021,19:20:17,2.86
30.0,16 Aug 23:18,16 Aug 2021,23:18:09,2.75
31.0,19 Aug 21:09,19 Aug 2021,21:09:25,2.59
32.0,19 Aug 22:09,19 Aug 2021,22:09:52,2.6
33.0,23 Aug 15:16,23 Aug 2021,15:16:38,3.08
34.0,23 Aug 18:03,23 Aug 2021,18:03:46,3.18
35.0,28 Aug 10:21,28 Aug 2021,10:21:18,2.28
36.0,28 Aug 11:35,28 Aug 2021,11:35:06,2.48
37.0,28 Aug 12:45,28 Aug 2021,12:45:39,2.35
38.0,28 Aug 15:26,28 Aug 2021,15:26:51,2.47
39.0,28 Aug 18:00,28 Aug 2021,18:00:08,2.42
40.0,28 Aug 19:18,28 Aug 2021,19:18:38,2.61
,03 Sep 02:17,03 Sep 2021,02:17:33,2.71
,03 09 10:54,03 Sep 2021,10:54:46,2.17
,10 Sep 17:38,10 Sep 2021,17:38:26,2.4
,10 Sep 23:30,10 Sep 2021,23:30:16,2.72
,12 Sep 17:30,12 Sep 2021,17:30:03,2.17
,12 Sep 18:42,12 Sep 2021,18:42:45,1.89
,12 Sep 21:12,12 Sep 2021,21:12:54,2.39
,12 Sep 22:53,12 Sep 2021,22:53:57,1.72
