Unnamed: 0,DateTime,Date,Time,BOD(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,2.84
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,2.77
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,2.76
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,2.77
4.0,09 Aug 16:29,09 Aug 2021,16:29:24,2.78
5.0,09 Aug 17:29,09 Aug 2021,17:29:51,2.77
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,2.78
7.0,09 Aug 19:30,09 Aug 2021,19:30:40,2.77
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,2.76
9.0,10 Aug 19:26,10 Aug 2021,19:26:33,2.75
10.0,11 Aug 08:47,11 Aug 2021,08:47:06,2.72
11.0,11 Aug 10:20,11 Aug 2021,10:20:04,2.73
12.0,11 Aug 12:13,11 Aug 2021,12:13:36,2.72
13.0,11 Aug 16:56,11 Aug 2021,16:56:21,2.71
14.0,11 Aug 18:00,11 Aug 2021,18:00:02,2.72
15.0,12 Aug 10:59,12 Aug 2021,10:59:37,2.8
16.0,12 Aug 12:14,12 Aug 2021,12:14:31,2.79
17.0,16 Aug 10:05,16 Aug 2021,10:05:25,2.86
18.0,16 Aug 11:06,16 Aug 2021,11:06:03,2.89
19.0,16 Aug 16:15,16 Aug 2021,16:15:54,2.91
20.0,16 Aug 17:19,16 Aug 2021,17:19:32,2.9
21.0,16 Aug 19:20,16 Aug 2021,19:20:17,2.89
22.0,19 Aug 21:09,19 Aug 2021,21:09:25,2.87
23.0,23 Aug 15:16,23 Aug 2021,15:16:38,2.85
24.0,23 Aug 18:03,23 Aug 2021,18:03:46,2.86
,28 Aug 18:00,28 Aug 2021,18:00:08,2.85
,10 Sep 17:38,10 Sep 2021,17:38:26,2.84
,12 Sep 22:53,12 Sep 2021,22:53:57,2.85
