Unnamed: 0,DateTime,Date,Time,Temperature(°C)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,30.2
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,31.1
2.0,09 Aug 16:29,09 Aug 2021,16:29:24,31.2
3.0,10 Aug 19:26,10 Aug 2021,19:26:33,31.3
4.0,11 Aug 08:47,11 Aug 2021,08:47:06,31.0
5.0,12 Aug 10:59,12 Aug 2021,10:59:37,30.9
6.0,16 Aug 10:05,16 Aug 2021,10:05:25,30.5
7.0,16 Aug 15:15,16 Aug 2021,15:15:28,30.6
8.0,16 Aug 17:19,16 Aug 2021,17:19:32,30.5
9.0,16 Aug 19:20,16 Aug 2021,19:20:17,30.4
10.0,16 Aug 23:18,16 Aug 2021,23:18:09,30.3
11.0,19 Aug 21:09,19 Aug 2021,21:09:25,30.5
12.0,23 Aug 15:16,23 Aug 2021,15:16:38,30.9
13.0,28 Aug 10:21,28 Aug 2021,10:21:18,30.4
14.0,28 Aug 11:35,28 Aug 2021,11:35:06,30.5
15.0,28 Aug 15:26,28 Aug 2021,15:26:51,30.7
16.0,28 Aug 18:00,28 Aug 2021,18:00:08,30.8
17.0,28 Aug 19:18,28 Aug 2021,19:18:38,30.7
,03 Sep 02:17,03 Sep 2021,02:17:33,30.5
,03 09 10:54,03 Sep 2021,10:54:46,30.6
,10 Sep 17:38,10 Sep 2021,17:38:26,31.0
,10 Sep 23:30,10 Sep 2021,23:30:16,30.9
,12 Sep 18:42,12 Sep 2021,18:42:45,31.4
,12 Sep 22:00,12 Sep 2021,22:00:04,31.3
