Unnamed: 0,DateTime,Date,Time,DO(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,0.28
1.0,09 Aug 19:30,09 Aug 2021,19:30:40,0.84
2.0,10 Aug 00:49,10 Aug 2021,00:49:39,0.28
3.0,10 Aug 09:26,10 Aug 2021,09:26:56,0.81
4.0,10 Aug 10:27,10 Aug 2021,10:27:28,0.28
5.0,16 Aug 11:06,16 Aug 2021,11:06:03,0.29
6.0,16 Aug 15:15,16 Aug 2021,15:15:28,0.28
7.0,23 Aug 15:16,23 Aug 2021,15:16:38,0.29
8.0,23 Aug 18:03,23 Aug 2021,18:03:46,0.27
,28 Aug 10:21,28 Aug 2021,10:21:18,0.87
,10 Sep 17:38,10 Sep 2021,17:38:26,0.84
,10 Sep 23:30,10 Sep 2021,23:30:16,0.85
,12 Sep 17:30,12 Sep 2021,17:30:03,0.84
,12 Sep 22:00,12 Sep 2021,22:00:04,0.85
