Unnamed: 0,DateTime,Date,Time,Floride(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,0.82
1.0,09 Aug 17:29,09 Aug 2021,17:29:51,0.85
2.0,09 Aug 18:30,09 Aug 2021,18:30:16,0.82
3.0,10 Aug 08:24,10 Aug 2021,08:24:01,0.1
4.0,10 Aug 09:26,10 Aug 2021,09:26:56,0.82
5.0,10 Aug 19:26,10 Aug 2021,19:26:33,0.1
6.0,10 Aug 20:27,10 Aug 2021,20:27:03,0.09
7.0,10 Aug 21:30,10 Aug 2021,21:30:23,0.1
8.0,11 Aug 08:47,11 Aug 2021,08:47:06,0.09
9.0,11 Aug 10:20,11 Aug 2021,10:20:04,0.1
10.0,11 Aug 16:56,11 Aug 2021,16:56:21,0.82
11.0,16 Aug 10:05,16 Aug 2021,10:05:25,0.33
12.0,16 Aug 11:06,16 Aug 2021,11:06:03,0.85
13.0,16 Aug 15:15,16 Aug 2021,15:15:28,0.28
14.0,16 Aug 16:15,16 Aug 2021,16:15:54,0.27
15.0,16 Aug 17:19,16 Aug 2021,17:19:32,0.82
16.0,16 Aug 18:19,16 Aug 2021,18:19:53,0.27
17.0,16 Aug 23:18,16 Aug 2021,23:18:09,0.3
18.0,19 Aug 21:09,19 Aug 2021,21:09:25,0.23
19.0,19 Aug 22:09,19 Aug 2021,22:09:52,0.79
20.0,23 Aug 18:03,23 Aug 2021,18:03:46,0.82
21.0,28 Aug 10:21,28 Aug 2021,10:21:18,0.79
,03 Sep 02:17,03 Sep 2021,02:17:33,0.11
,03 09 10:54,03 Sep 2021,10:54:46,0.09
,10 Sep 17:38,10 Sep 2021,17:38:26,0.28
,12 Sep 17:30,12 Sep 2021,17:30:03,0.12
,12 Sep 22:53,12 Sep 2021,22:53:57,0.13
